#   GLON      GLAT      VLSR     MLON      MLAT
  314.3822  -76.7196   -9.11  -46.5490   -0.3698
  314.3867  -76.6802   -8.76  -46.5179   -0.3941
  314.3911  -76.6408   -8.41  -46.4869   -0.4184
  314.3956  -76.6013   -8.06  -46.4559   -0.4427
  314.4000  -76.5619   -7.72  -46.4248   -0.4670
  314.4044  -76.5225   -7.37  -46.3938   -0.4913
  314.4088  -76.4831   -7.02  -46.3627   -0.5156
  314.4131  -76.4437   -6.67  -46.3317   -0.5399
  314.4174  -76.4043   -6.32  -46.3007   -0.5642
  314.4217  -76.3649   -5.98  -46.2696   -0.5885
  314.4260  -76.3255   -5.63  -46.2386   -0.6128
  314.4303  -76.2861   -5.28  -46.2076   -0.6371
  314.4345  -76.2467   -4.93  -46.1765   -0.6614
  314.4387  -76.2073   -4.58  -46.1455   -0.6857
  314.4429  -76.1679   -4.23  -46.1144   -0.7100
  314.4471  -76.1285   -3.89  -46.0834   -0.7343
  314.4512  -76.0891   -3.54  -46.0524   -0.7586
  314.4553  -76.0497   -3.19  -46.0213   -0.7829
  314.4594  -76.0103   -2.84  -45.9903   -0.8072
  314.4635  -75.9709   -2.49  -45.9593   -0.8315
  314.4676  -75.9315   -2.15  -45.9282   -0.8558
  314.4716  -75.8921   -1.80  -45.8972   -0.8801
  314.4756  -75.8527   -1.45  -45.8661   -0.9044
  314.4796  -75.8133   -1.10  -45.8351   -0.9287
  314.4836  -75.7739   -0.75  -45.8041   -0.9530
  314.4876  -75.7345   -0.40  -45.7730   -0.9773
  314.4915  -75.6951   -0.06  -45.7420   -1.0016
  314.4954  -75.6557    0.29  -45.7110   -1.0259
  314.4993  -75.6163    0.64  -45.6799   -1.0502
  314.5032  -75.5769    0.99  -45.6489   -1.0745
  314.5071  -75.5375    1.34  -45.6179   -1.0988
  314.5109  -75.4981    1.68  -45.5868   -1.1231
  314.5148  -75.4587    2.03  -45.5558   -1.1474
  314.5186  -75.4193    2.38  -45.5247   -1.1717
  314.5224  -75.3799    2.73  -45.4937   -1.1960
  314.5261  -75.3405    3.08  -45.4627   -1.2203
  314.5299  -75.3011    3.42  -45.4316   -1.2446
  314.5336  -75.2617    3.77  -45.4006   -1.2689
  314.5374  -75.2223    4.12  -45.3696   -1.2932
  314.5411  -75.1829    4.47  -45.3385   -1.3175
  314.5448  -75.1435    4.82  -45.3075   -1.3418
  314.5484  -75.1041    5.17  -45.2764   -1.3661
  314.5256  -75.0698    5.51  -45.2454   -1.3819
  314.4926  -75.0374    5.86  -45.2144   -1.3943
  314.4598  -75.0051    6.21  -45.1833   -1.4068
  314.4271  -74.9727    6.56  -45.1523   -1.4193
  314.3946  -74.9403    6.91  -45.1213   -1.4318
  314.3622  -74.9080    7.25  -45.0902   -1.4443
