#   GLON      GLAT      VLSR     MLON      MLAT
  292.4221  -73.3399   54.78  -41.0920    3.2480
  292.3766  -73.2925   55.37  -41.0428    3.2480
  292.3313  -73.2452   55.98  -40.9936    3.2480
  292.2863  -73.1978   56.59  -40.9444    3.2480
  292.2415  -73.1505   57.21  -40.8953    3.2480
  292.1970  -73.1031   57.82  -40.8461    3.2480
  292.1526  -73.0557   58.43  -40.7969    3.2480
  292.1086  -73.0084   59.05  -40.7477    3.2480
  292.0647  -72.9610   59.66  -40.6985    3.2480
  292.0211  -72.9135   60.27  -40.6493    3.2480
  291.9777  -72.8661   60.88  -40.6002    3.2480
  291.9345  -72.8187   61.50  -40.5510    3.2480
  291.8916  -72.7713   62.11  -40.5018    3.2480
  291.8489  -72.7238   62.72  -40.4526    3.2480
  291.8063  -72.6764   63.47  -40.4034    3.2480
  291.7793  -72.6277   64.55  -40.3543    3.2433
  291.7539  -72.5789   65.62  -40.3051    3.2381
  291.7287  -72.5301   66.69  -40.2559    3.2329
  291.7036  -72.4813   67.77  -40.2067    3.2277
  291.6786  -72.4325   68.84  -40.1575    3.2226
  291.6537  -72.3837   69.91  -40.1083    3.2174
  291.6290  -72.3349   71.04  -40.0592    3.2122
  291.6044  -72.2861   72.19  -40.0100    3.2070
  291.5799  -72.2373   73.34  -39.9608    3.2018
  291.5555  -72.1885   74.49  -39.9116    3.1966
  291.5313  -72.1397   75.64  -39.8624    3.1914
  291.5072  -72.0909   76.79  -39.8133    3.1863
  291.4832  -72.0420   77.94  -39.7641    3.1811
  291.4593  -71.9932   79.09  -39.7149    3.1759
  291.4355  -71.9444   80.18  -39.6657    3.1707
  291.4119  -71.8956   80.71  -39.6165    3.1655
  291.3883  -71.8467   81.25  -39.5673    3.1603
  291.3649  -71.7979   81.78  -39.5182    3.1551
  291.3416  -71.7491   82.32  -39.4690    3.1500
  291.3256  -71.6996   82.86  -39.4198    3.1424
  291.3153  -71.6497   83.39  -39.3706    3.1331
  291.3050  -71.5999   83.93  -39.3214    3.1237
  291.2948  -71.5500   84.47  -39.2723    3.1144
  291.2845  -71.5001   85.00  -39.2231    3.1051
  291.2744  -71.4502   85.54  -39.1739    3.0957
  291.2643  -71.4003   86.08  -39.1247    3.0864
  291.2542  -71.3504   86.61  -39.0755    3.0771
  291.2442  -71.3005   87.16  -39.0263    3.0677
  291.2342  -71.2507   87.85  -38.9772    3.0584
  291.2243  -71.2008   88.54  -38.9280    3.0491
  291.2144  -71.1509   89.23  -38.8788    3.0397
  291.2045  -71.1010   89.92  -38.8296    3.0304
  291.1947  -71.0511   90.61  -38.7804    3.0211
  291.1849  -71.0012   91.30  -38.7313    3.0117
  291.1752  -70.9513   91.99  -38.6821    3.0024
  291.1655  -70.9014   92.68  -38.6329    2.9931
  291.1559  -70.8515   93.37  -38.5837    2.9837
  291.1463  -70.8016   94.06  -38.5345    2.9744
  291.1367  -70.7517   94.75  -38.4853    2.9651
  291.1272  -70.7018   95.44  -38.4362    2.9557
  291.1191  -70.6518   96.13  -38.3870    2.9459
  291.1278  -70.6004   96.82  -38.3378    2.9304
